periodos_id,periodos_nombre,municipios_islas_id,municipios_islas_nombre,estratos_asalariados_id,estratos_asalariados_nombre,empresas_segun_estratos_asalariados_municipios_canarias_periodos,notas_observacion
2005M12,2005 diciembre,ES708,Lanzarote,0,Total,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES708,Lanzarote,1,De 1 a 9 trabajadores,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES708,Lanzarote,2,De 10 a 49 trabajadores,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES708,Lanzarote,3,De 50 a 249 trabajadores,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES708,Lanzarote,4,De 250 o más trabajadores,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,35004,Arrecife,0,Total,2094,
2005M12,2005 diciembre,35004,Arrecife,1,De 1 a 9 trabajadores,1777,
2005M12,2005 diciembre,35004,Arrecife,2,De 10 a 49 trabajadores,280,
2005M12,2005 diciembre,35004,Arrecife,3,De 50 a 249 trabajadores,31,
2005M12,2005 diciembre,35004,Arrecife,4,De 250 o más trabajadores,6,
2005M12,2005 diciembre,35010,Haría,0,Total,87,
2005M12,2005 diciembre,35010,Haría,1,De 1 a 9 trabajadores,82,
2005M12,2005 diciembre,35010,Haría,2,De 10 a 49 trabajadores,4,
2005M12,2005 diciembre,35010,Haría,3,De 50 a 249 trabajadores,1,
2005M12,2005 diciembre,35010,Haría,4,De 250 o más trabajadores,0,
2005M12,2005 diciembre,35018,San Bartolomé,0,Total,476,
2005M12,2005 diciembre,35018,San Bartolomé,1,De 1 a 9 trabajadores,402,
2005M12,2005 diciembre,35018,San Bartolomé,2,De 10 a 49 trabajadores,62,
2005M12,2005 diciembre,35018,San Bartolomé,3,De 50 a 249 trabajadores,12,
2005M12,2005 diciembre,35018,San Bartolomé,4,De 250 o más trabajadores,0,
2005M12,2005 diciembre,35024,Teguise,0,Total,586,
2005M12,2005 diciembre,35024,Teguise,1,De 1 a 9 trabajadores,505,
2005M12,2005 diciembre,35024,Teguise,2,De 10 a 49 trabajadores,64,
2005M12,2005 diciembre,35024,Teguise,3,De 50 a 249 trabajadores,17,
2005M12,2005 diciembre,35024,Teguise,4,De 250 o más trabajadores,0,
2005M12,2005 diciembre,35028,Tías,0,Total,1076,
2005M12,2005 diciembre,35028,Tías,1,De 1 a 9 trabajadores,899,
2005M12,2005 diciembre,35028,Tías,2,De 10 a 49 trabajadores,164,
2005M12,2005 diciembre,35028,Tías,3,De 50 a 249 trabajadores,13,
2005M12,2005 diciembre,35028,Tías,4,De 250 o más trabajadores,0,
2005M12,2005 diciembre,35029,Tinajo,0,Total,121,
2005M12,2005 diciembre,35029,Tinajo,1,De 1 a 9 trabajadores,100,
2005M12,2005 diciembre,35029,Tinajo,2,De 10 a 49 trabajadores,16,
2005M12,2005 diciembre,35029,Tinajo,3,De 50 a 249 trabajadores,4,
2005M12,2005 diciembre,35029,Tinajo,4,De 250 o más trabajadores,1,
2005M12,2005 diciembre,35034,Yaiza,0,Total,400,
2005M12,2005 diciembre,35034,Yaiza,1,De 1 a 9 trabajadores,332,
2005M12,2005 diciembre,35034,Yaiza,2,De 10 a 49 trabajadores,50,
2005M12,2005 diciembre,35034,Yaiza,3,De 50 a 249 trabajadores,15,
2005M12,2005 diciembre,35034,Yaiza,4,De 250 o más trabajadores,3,
2005M12,2005 diciembre,ES704,Fuerteventura,0,Total,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES704,Fuerteventura,1,De 1 a 9 trabajadores,.,No procede / Categoría no aplicable
2005M12,2005 diciembre,ES704,Fuerteventura,2,De 10 a 49 trabajadores,.,No procede / Categoría no aplicable
