TERRITORIO#es,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD_CODE,TIPO_OBRA_VIVIENDAS#es,TIPO_OBRA_VIVIENDAS_CODE,MEDIDAS#es,MEDIDAS_CODE,OBS_VALUE,NOTAS_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#es,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE
Arrecife,35004,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Arrecife,35004,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Arrecife,35004,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Arrecife,35004,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Arrecife,35004,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,3,,,,
Arrecife,35004,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,5,,,,
Arrecife,35004,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,5,,,,
Arrecife,35004,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,6,,,,
Arrecife,35004,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Arrecife,35004,2013,2013,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
Arrecife,35004,2014,2014,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,1,,,,
Arrecife,35004,2015,2015,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,2,,,,
Arrecife,35004,2016,2016,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,5,,,,
Arrecife,35004,2017,2017,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,4,,,,
Arrecife,35004,2018,2018,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,9,,,,
Arrecife,35004,2019,2019,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,32,,,,
Arrecife,35004,2012,2012,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Arrecife,35004,2013,2013,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,2,,,,
Arrecife,35004,2014,2014,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Arrecife,35004,2015,2015,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,10,,,,
Arrecife,35004,2016,2016,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,14,,,,
Arrecife,35004,2017,2017,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,8,,,,
Arrecife,35004,2018,2018,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,77,,,,
Arrecife,35004,2019,2019,Saldo de viviendas,SALDO_VIVIENDAS,Viviendas,VIVIENDAS,175,,,,
Arrecife,35004,2012,2012,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,14,,,,
Arrecife,35004,2013,2013,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,2,,,,
Arrecife,35004,2014,2014,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,7,,,,
Arrecife,35004,2015,2015,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,9,,,,
Arrecife,35004,2016,2016,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,12,,,,
Arrecife,35004,2017,2017,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,9,,,,
Arrecife,35004,2018,2018,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,73,,,,
Arrecife,35004,2019,2019,Obra nueva,OBRA_NUEVA,Viviendas,VIVIENDAS,149,,,,
Haría,35010,2012,2012,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2013,2013,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Haría,35010,2014,2014,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2015,2015,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2016,2016,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Haría,35010,2017,2017,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2018,2018,Demolición,DEMOLICION,Viviendas,VIVIENDAS,0,,,,
Haría,35010,2019,2019,Demolición,DEMOLICION,Viviendas,VIVIENDAS,1,,,,
Haría,35010,2012,2012,Rehabilitación,REHABILITACION,Viviendas,VIVIENDAS,0,,,,
