codigo_municipio,anio,num_viviendas,num_empresas,isla,municipio,poblacion_total,edad_media,pct_extranjeros,pct_mayores_65,indice_dependencia,superficie_km2,poblacion_0_14,poblacion_15_64,poblacion_65_mas,poblacion_activa_total,asalariados_total,salario_medio_total,poblacion_activa_hombres,poblacion_activa_mujeres,asalariados_hombres,asalariados_mujeres
35001,2012,6.0,286.0,2,0,5633.0,46.4103,6.5507,20.6462,43.5525,4451.16,546.0,3924.0,1163.0,2710,1864,85.57,1404,1306,961,902
35001,2013,0.0,315.0,2,0,5633.0,46.4103,6.5507,20.6462,43.5525,4451.16,546.0,3924.0,1163.0,2710,1864,85.57,1404,1306,961,902
35001,2014,0.0,329.0,2,0,5633.0,46.4103,6.5507,20.6462,43.5525,4451.16,546.0,3924.0,1163.0,2710,1864,85.57,1404,1306,961,902
35001,2015,0.0,175.0,2,0,5633.0,46.4103,6.5507,20.6462,43.5525,4451.16,546.0,3924.0,1163.0,2710,1864,85.57,1404,1306,961,902
35002,2012,36.0,3237.0,2,1,32067.0,41.1586,6.7951,12.6859,36.2929,7889.72,4471.0,23528.0,4068.0,17547,13282,88.51,8974,8573,6799,6483
35002,2013,22.0,3149.0,2,1,32067.0,41.1586,6.7951,12.6859,36.2929,7889.72,4471.0,23528.0,4068.0,17547,13282,88.51,8974,8573,6799,6483
35002,2014,36.0,3112.0,2,1,32067.0,41.1586,6.7951,12.6859,36.2929,7889.72,4471.0,23528.0,4068.0,17547,13282,88.51,8974,8573,6799,6483
35002,2015,12.0,1599.0,2,1,32067.0,41.1586,6.7951,12.6859,36.2929,7889.72,4471.0,23528.0,4068.0,17547,13282,88.51,8974,8573,6799,6483
35003,2012,0.0,1123.0,1,2,12940.0,44.1134,44.0417,17.0479,40.744,25024.8,1540.0,9194.0,2206.0,5853,4298,81.32,3116,2737,2270,2028
35003,2013,4.0,1038.0,1,2,12940.0,44.1134,44.0417,17.0479,40.744,25024.8,1540.0,9194.0,2206.0,5853,4298,81.32,3116,2737,2270,2028
35003,2014,0.0,1053.0,1,2,12940.0,44.1134,44.0417,17.0479,40.744,25024.8,1540.0,9194.0,2206.0,5853,4298,81.32,3116,2737,2270,2028
35003,2015,92.0,566.0,1,2,12940.0,44.1134,44.0417,17.0479,40.744,25024.8,1540.0,9194.0,2206.0,5853,4298,81.32,3116,2737,2270,2028
